Modalidad;actividad;descripcion_actividad;lugar;dirección;calle;altura;barrio ;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;se_suspende_por_lluvia;Gratuita;long;lat;Links
Presencial;Verano de Cine Nacional: Mamá se fue de viaje;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-11-09;2021-11-09;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Virtual;Libro Móvil;"Una vidriera de libros nómade en el espacio público, donde se pueden adquirir títulos de librerías barriales y editoriales independientes y asociarse a la Red de Librerías Públicas de la Ciudad.
";distintas ferias de la ciudad y espacios verdes cada semana. recorrido: https://www.buenosaires.gob.ar/cultura/promocion-cultural/este-verano-libro-movil-sale-buscarte;;;;;;2021-01-13;2021-03-06;Actividad;Ciclo;Literatura, Libro y Lectura;Público General;Si;Si;;;https://www.buenosaires.gob.ar/cultura/impulso-cultural/noticias/libro-movil-sale-rodar-por-las-ferias-de-la-ciudad
Virtual;Instalar Danza;Ciclo de danza online a través de Vivamos Cultura. Con el apoyo de Prodanza;;;;;;;2021-01-15;2021-02-15;Actividad;Ciclo;Artes Escénicas;Público General;No;Si;;;https://vivamoscultura.buenosaires.gob.ar/contenido/2346-instalar-danza-de-fundacion-cazadores
Presencial;Verano de Cine Nacional: Betibú;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-11-16;2021-11-16;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Virtual;Concurso Desarrollo de Proyectos Audiovisuale;Concurso de desarrollo de proyectos audiovisuales impulsado por Buenos Aires Cluster Audiovisual. Cuenta con el apoyo de Mecenazgo.;-;;;;;;2021-01-20;2021-02-19;Convocatoria;;Cine y Audiovisual;Público General;No;Si;;;https://bacacluster.com/
Presencial;Verano de Cine Nacional: El día que me muera;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-01-23;2021-01-23;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Presencial;Verano de Cine Nacional: Gilda;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-01-30;2021-01-30;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Presencial;Impulso Tango en Abasto Cultural;Performance de dos parejas de bailarines y banda musical en Abasto. Impulso Tango es una iniciativa de la Dirección General de Desarrollo Cultural y Creativo con el objetivo de posicionar, visibilizar y difundir el tango, las milongas y sus múltiples expresiones e identificaciones.;ABASTO;AGUERO 635;AGUERO;635.0;BALVANERA;3;2021-01-30;2021-01-30;Actividad;Función / Exhibición;Artes Escénicas;Público General;Si;Si;-58.41140557328768;-34.60294011774995;
Presencial;Presentación de libro;El cineasta Juan Villegas presenta Diario de la grieta. En diálogo con la periodista Gabriela Radice.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-16;2021-01-16;Actividad;Encuentro;Literatura, Libro y Lectura;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;Cine al aire libre;Proyección de The Thing (El enigma de otro mundo), de John Carpenter (1982);PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-16;2021-01-16;Actividad;Ciclo;Cine y Audiovisual;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-21;2021-01-21;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Mariu Fernández en concierto;Dirigida por Mariu Fernández.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-21;2021-02-21;Actividad;Función / Exhibición;Artes Escénicas;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;Vacío;Dirección de Diego Sebastián Oria.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-22;2021-01-22;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-22;2021-01-22;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Instrucciones para enseñarle a volar a mi elefante rosa;Dirección de Alejandra Rubio.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-22;2021-01-22;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Interior;Por Monomujer, teatro para un espectador. Funciones cada 15 minutos.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-23;2021-01-23;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;----;Dirigida por Lorena Romanin.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-23;2021-01-23;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Cine al aire libre;Proyección de La niebla, de John Carpenter (1980);PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-23;2021-01-23;Actividad;Ciclo;Cine y Audiovisual;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-28;2021-01-21;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Vacío;Dirección de Diego Sebastián Oria.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-12-29;2021-01-29;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-29;2021-01-29;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Instrucciones para enseñarle a volar a mi elefante rosa;Dirección de Alejandra Rubio.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-29;2021-01-29;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Interior;Por Monomujer, teatro para un espectador. Funciones cada 15 minutos.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-30;2021-01-30;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
