id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,Long,Lat
665,BOLIVAR,BOLIVAR 886,4361 5105,reservas@hotel-bolivar.com.ar,http://www.hotel-bolivar.com.ar/,Boutique,BOLIVAR,886,BOLIVAR 886,-58.373013,-34.618212
664,SANTA MARIA DE LA SALUD,PERU 1022,4307-9593,info@paradorbue.com,http://www.paradorbue.com/,Boutique,PERU,1022,PERU 1022,-58.374235,-34.619917
663,SPLENDID,BELGRANO AV. 2688,4943-0031,ventas@hotel-splendid.com.ar,http://www.hotel-splendid.com.ar/,Bed & Breakfast,BELGRANO ,2688,BELGRANO 2688,-58.403906,-34.614665
662,LA CASA DEL MÉDICO,BELGRANO AV. 1235,4383-8414,info@lacasadelmedico.com.ar,WWW.LACASADELMEDICO.COM.AR,Hotel sindical,AV. BELGRANO ,1235,AV. BELGRANO 1235,-58.383766,-34.613187
661,HOTEL 26 DE JULIO,HUMBERTO 1° 1712,4305-3030,hotel26dejulio@judiciales.org.ar,,Hotel sindical,HUMBERTO 1 ,1712,HUMBERTO 1 1712,-58.390315,-34.621526
660,OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA,DEAN FUNES 1241,4943-0053,hotelesfattsa@sanidad.org.ar,,Hotel sindical,DEAN FUNES ,1241,DEAN FUNES 1241,-58.405771,-34.624972
659,OBRA SOCIAL DE LA ACTIVIDAD MINERA OSAM,ESTADOS UNIDOS 4037,4902-5983,obrasocial@aomaosam.org.ar,,Hotel sindical,EEUU ,4037,EEUU 4037,-58.422599,-34.623005
658,HOTEL TELEPOSTAL EVA PERON,RINCON 153,4951-6923,reservas@hotelpostal.com.ar,,Hotel sindical,RINCON,153,RINCON 153,-58.396239,-34.611212
657,HOTEL AOMA BUENOS AIRES,ESTADOS UNIDOS 4049,4931-8947,reservas@hotelamabsas.com.ar,,Hotel sindical,ESTADOS UNIDOS ,4049,ESTADOS UNIDOS 4049,-58.422713,-34.623019
656,HOTEL 11 DE OCTUBRE,GALLO 513,4862-1838,hotel@hotel11deoctubre.com.ar,,Hotel sindical,GALLO,513,GALLO 513,-58.412870,-34.603044
655,HOTEL DE LAS PROVINCIAS,"MITRE, BARTOLOME 2135",1152779000,hoteldelasprovincias@faecys.org.ar,,Hotel sindical,BARTOLOME MITRE,2135,"MITRE, BARTOLOME 2135",-58.396890,-34.608270
654,CIRCULO DE SUBOFICIALES DE GENDARMERIA NACIONAL ARGENTINA,TACUARI 566,4334-0232,cirsubonhoteltacuari@yaqhoo.com.ar,,Hotel sindical,TACUARI,566,TACUARI 566,-58.378907,-34.614791
653,CHUBUT HOTEL,CHILE 1540,4383-7077,hotel@hotelchubut.com.ar,http://www.issys.gov.ar/index.php/chubut-hotel-capital-federal,Hotel sindical,CHILE,1540,CHILE 1540,-58.388171,-34.616752
652,HOTEL EVA PERON,CORDOBA AV. 3418,4863-1744,aatrac@infovia.com.ar,,Hotel sindical,CORDOBA,3418,CORDOBA AV. 3418,-58.415039,-34.597969
651,CIRCULO MILITAR,SANTA FE AV. 760,4311-1071,alojamiento@circulomilitar.org,,Hotel sindical,SANTA FE,760,SANTA FE AV. 760,-58.377616,-34.595373
650,HOTEL 27 DE JUNIO ATE,DEFENSA 1469,4361-9697,,,Hotel sindical,DEFENSA,1469,DEFENSA 1469,-58.371175,-34.624986
649,HOTEL BUENOS AIRES,SUIPACHA 854,4328-8426,info@hotelbuenosaires.com.ar,http://www.hotelbuenosaires.com.ar/,Hotel sindical,SUIPACHA,854,SUIPACHA 854,-58.379834,-34.598353
648,HOTEL DEL SOL,ESMERALDA 645,4393-1031,hoteldelsol@lacoloniabp.com.ar,,Hotel sindical,ESMERALDA,645,ESMERALDA 645,-58.378161,-34.600593
647,U.T.H.G.R.A. ESCUELA 2 DE AGOSTO,TUCUMAN 2214,4951-3681/ 6749,hotelcapital@uthgra.org.ar,www.uthgraturismo.com.ar,Hotel sindical,TUCUMAN,2214,TUCUMAN 2214,-58.398749,-34.602244
646,HOTEL ESCORIAL,SALTA 92,4383-6540,hotelescorial@faecys.org.ar,,Hotel sindical,SALTA,92,SALTA 92,-58.383394,-34.609539
645,CIRGEN,PARAGUAY 970,5235-0085,turismo@ciergen.org.ar,http://www.cirgen.org.ar/hotel.php,Hotel sindical,PARAGUAY,970,PARAGUAY 970,-58.380811,-34.597829
644,HOTEL 5 DE OCTUBRE,"MANSILLA, LUCIO NORBERTO, GENERAL 2811",4824-7065,hotel5deoctubre@outlook.com.ar,,Hotel sindical,MANSILLA,2811,"MANSILLA, LUCIO NORBERTO, GENERAL 2811",-58.406917,-34.595271
643,HOTEL 20 DE SETIEMBRE,"URQUIZA, GRAL. 250",4932-7403,hotel_cap@hotmail.com,,Hotel sindical,URQUIZA,250,"URQUIZA, GRAL. 250",-58.409978,-34.613336
642,HOSTEL BS AS,RIVADAVIA AV. 3182,4861-1176,,,Hostel,RIVADAVIA,3182,RIVADAVIA AV. 3182,-58.411357,-34.610585
641,BACANA TANGO HOME,"PIEDRAS 1162,""A""",4307-7358,info@bacanatango.com.ar,http://www.bacanatango.com.ar/,Hostel,PIEDRAS,1162,PIEDRAS 1162,-58.377182,-34.621500
640,CAMBALACHE HOSTEL,RIVADAVIA AV. 1709,4373-1457,info@hostelcambalache.com.ar,http://www.hostelcambalache.com.ar/,Hostel,RIVADAVIA,1709,, , 
639,HOSTEL PUNTO CERO,RIVADAVIA AV. 1777,4371-0072,reservas@hostelpuntocero.com,http://www.hoteldoscongresos.com/,Hostel,RIVADAVIA,1777,, , 
638,DON KING,"RUGGIERI, SILVIO L. 2785",4805-6026,,http://www.donkinghostel.com.ar/,Hostel,RUGGIERI,2785,"RUGGIERI, SILVIO L. 2785",-58.407734,-34.581912
637,GUEMES Y ORO HOSTEL,GUEMES 4802,4773-7612,,http://guemesyorohostel.com.ar/,Hostel,GUEMES 4802,4802,, , 
636,URBAN 011,MAIPU 208,5031-2899,reservas@urban011.com,http://www.urban011.com/,Hostel,MAIPU,208,MAIPU 208,-58.376579,-34.605720
635,DOGO HOSTEL,"CABRERA, JOSE A. 4716",3968-7800,info@dogohostel.com,http://dogohostel.com/,Hostel,CABRERA,4716,"CABRERA, JOSE A. 4716",-58.429480,-34.592020
634,ADVENTURE BAIRES HOSTEL,"LAVALLE 477,1º",5217-3344,adventurehoselba@gmail.com,,Hostel,LAVALLE,477,LAVALLE 477,-58.373691,-34.602088
633,LOARA,ESTADOS UNIDOS 842,4361-8192,info@loarashostel.com,www.loarashostel.com,Hostel,EEUU,842,ESTADOS UNIDOS 842,-58.377905,-34.618572
632,VIEJO TELMO,MEXICO 974,4342-2666,telmoviejo@gmail.com,,Hostel,MEXICO,974,MEXICO 974,-58.379849,-34.615246
631,PLAY HOSTEL,GUATEMALA 4636,4832-4257,info@playhostel.com,http://www.playhostel.com/,Hostel,GUATEMALA,4636,GUATEMALA 4636,-58.424077,-34.586701
630,HOSTEL SUITES FLORIDAS,FLORIDA 328,4393-1397,info@hostelsuites.com,http://florida.hostelsuites.com/sp/,Hostel,FLORIDA,328,FLORIDA 328,-58.375242,-34.604196
629,MAGANDHI HOSTEL,OLAZABAL AV. 3691,4544-4007,magandhi_hostel@hotmail.com,http://www.magandhi-hostel.com.ar/1/,Hostel,OLAZABAL,3691,OLAZABAL AV. 3691,-58.471808,-34.568152
628,ECO PAMPA HOSTEL,GUATEMALA 4778,4831-2435,ecoinfo@hostelpampa.com.ar,http://www.hostelpampa.com.ar/,Hostel,GUATEMALA,4778,GUATEMALA 4778,-58.425202,-34.585815
627,REINA MADRE HOSTEL,"ANCHORENA, TOMAS MANUEL DE, DR. 1118",4962-5553,reinamadre@rmhostel.com,http://www.rmhostel.com/,Hostel,T M DE ANCHORENA,1118,"ANCHORENA, TOMAS MANUEL DE, DR. 1118",-58.407291,-34.596365
626,HOTEL EGIPTO,CORRIENTES AV. 3193,4863-0808,info@hotelegipto.com.ar,http://www.hotelegipto.com.ar/,Hostel,CORRIENTES,3193,CORRIENTES AV. 3193,-58.410136,-34.603950
625,CIRCUS,CHACABUCO 1020,4300-4983,info@hostelcircus.com,http://hostelcircus.com/es/,Hostel,CHACABUCO,1020,CHACABUCO 1020,-58.375762,-34.619989
624,BELLO HOSTEL,NAVARRO 3090,4502-0458,info@bellohostel.com.ar,http://www.bellohostel.com/,Hostel,NAVARRO,3090,NAVARRO 3090,-58.497315,-34.595753
623,LIVIAN GUEST HOUSE,ESTADO DE PALESTINA 1184,4802-8841,info@livianguesthouse.com,http://www.livianguesthouse.com.ar/,Hostel,PALESTINA,1184,ESTADO DE PALESTINA 1184,-58.424482,-34.596454
622,SPOT BS AS,GUARDIA VIEJA 3532,4867-6797,,,Hostel,GUARDIA VIEJA,3532,GUARDIA VIEJA 3532,-58.414620,-34.602035
621,TANGO,CHACABUCO 747,4300-2420,info@hosteltangoargentina.com,http://www.hosteltangoargentina.com/ES/index.html,Hostel,CHACABUCO,747,CHACABUCO 747,-58.375984,-34.616838
620,ART FACTORY,PIEDRAS 545,4343-1463,info@artfactoryba.com.ar,http://artfactoryba.com.ar/,Hostel,PIEDRAS,545,PIEDRAS 545,-58.377557,-34.614492
619,SABATICO TRAVELERS HOSTEL,MEXICO 1410,4381-1138,info@sabaticohostel.com.ar,http://www.sabaticohostel.com.ar/,Hostel,MEXICO,1410,MEXICO 1410,-58.386133,-34.615541
618,PETIT RECOLETA HOSTEL,"URIBURU JOSE E., PRES. 1183",4823-3848,info@petitrecoleta.com,http://www.petitrecoleta.com/,Hostel,URIBURU,1183,"URIBURU JOSE E., PRES. 1183",-58.398124,-34.594535
617,HOSTEL VIVAC,"YRIGOYEN, HIPOLITO AV. 4109",4958-2342,info@vivachostel.com.ar,http://www.vivachostel.com.ar/,Hostel,YRIGOYEN,4109,"YRIGOYEN, HIPOLITO AV. 4109",-58.424779,-34.614776
616,AYRES DE TANGO HOSTEL,"MITRE, BARTOLOME 2388",4951-0641,info@hostelmotango.com,http://www.hostelmotango.com/index.php,Hostel,BARTOLOME MITRE,2388,"MITRE, BARTOLOME 2388",-58.400309,-34.608580
615,KILOMETRO CERO ROCK HOSTEL,RIVADAVIA AV. 1587,4382-6345,info@rockhostel.com.ar,http://www.rockhostel.com.ar/,Hostel,RIVADAVIA,1587,, , 
614,RANCHO URBANO HOSTEL,CORRIENTES AV. 4139,4863-6636,,http://r-urbano.com.ar/,Hostel,CORRIENTES,4139,CORRIENTES AV. 4139,-58.423091,-34.602876
613,HOSTEL PARADA,RIVADAVIA AV. 1291,4381-6399,info@hostelparada.com,www.hostelparada.com.ar,Hostel,RIVADAVIA,1291,, , 
612,ZENTRUM,COSTA RICA 4520,4833-9518,,,Hostel,COSTA RICA,4520,COSTA RICA 4520,-58.425437,-34.589294
611,MILHOUSE AVENUE,DE MAYO AV. 1245,4383-9383,info@milhousehostel.com,www.milhousehostel.com,Hostel,DE MAYO,1245,DE MAYO AV. 1245,-58.384145,-34.609160
610,HOSTEL EN BS AS,TUCUMAN 2021,4374-4301,,,Hostel,TUCUMAN,2021,TUCUMAN 2021,-58.395974,-34.602132
609,AMERICA DEL SUR,CHACABUCO 718,4300-5525,baires@americahostel.com.ar,www.americahostel.com.ar,Hostel,CHACABUCO,718,CHACABUCO 718,-58.375933,-34.616498
608,DOWTOWN BA HOSTEL,MAIPU 556,4393-4072,,,Hostel,MAIPU,556,MAIPU 556,-58.376771,-34.601682
607,HOSTEL ONE,BOLIVAR 1356,4300-9322,info@santelmohouse.com,WWW.HOSTELONE.COM,Hostel,BOLIVAR,1356,BOLIVAR 1356,-58.372664,-34.623777
606,SUITES PALERMO,CHARCAS 4752,4773-0806,info@hostelsuites.com,http://palermo.hostelsuites.com/sp/,Hostel,CHARCAS,4752,CHARCAS 4752,-58.426758,-34.581042
605,HOSTEL SUITES OBELISCO,CORRIENTES AV. 830,4328-4040,,WWW.HOSTELSUITES.COM,Hostel,CORRIENTES,830,CORRIENTES AV. 830,-58.378519,-34.603602
604,VIA VIA BUENOS AIRES,CHILE AV. 324,4300-7259,,,Hostel,CHILE,324,CHILE AV. 324,-58.370703,-34.615970
603,BORGES DESING HOSTEL,PARAGUAY 4539,4774-6910,reservas@borgeshostel.com,http://borgeshostel.com/es/,Hostel,PARAGUAY,4539,PARAGUAY 4539,-58.424618,-34.584308
602,EXTREMO SUR HSOTEL,FINOCHIETTO ENRIQUE DR. 473,4300-8943,,WWW.ESHOSTEL.COM.AR,Hostel,DR E FINOCHIETTO,473,FINOCHIETTO ENRIQUE DR. 473,-58.371963,-34.628147
601,HOSTEL ESTANCION BUENOS AIRES,SOLIS 458,4381-0734,info@hostelestacionbuenosaires.com,http://www.hostelestacionbuenosaires.com/,Hostel,SOLIS,458,SOLIS 458,-58.390380,-34.614362
600,PUERTO LIMON,CHACABUCO 1080,4361-9649,info@puertolimonhostel.com,http://puertolimonhostel.com/,Hostel,CHACABUCO,1080,CHACABUCO 1080,-58.375720,-34.620595
599,TERCERO DEL SUR,CHILE AV. 368,4300-6819,tercerodelsurhostal@gmail.com,,Hostel,CHILE,368,CHILE AV. 368,-58.371295,-34.616010
598,KILCA,MEXICO 1545,4381-1966,kilcahostel@hotmail.com,http://www.kilcabackpacker.com/index.php/es/,Hostel,MEXICO,1545,MEXICO 1545,-58.388195,-34.615509
597,CHE ARGENTINA HOSTEL,PIEDRAS 708,4307-6287,rsv@cheargentinahostel.com.ar,http://www.cheargentinahostel.com.ar/,Hostel,PIEDRAS,708,PIEDRAS 708,-58.377386,-34.616384
596,BACK IN BA,EL SALVADOR 5115,4774-2859,info@backinba.com,http://www.backinba.com/,Hostel,EL SALVADOR,5115,EL SALVADOR 5115,-58.431253,-34.586560
595,LA TABA,ESTADO DE ISRAEL AV. 4809,4854-4584,info@latabahostel.com.ar,http://www.latabahostel.com.ar/,Hostel,ESTADO DE ISRAEL,4809,ESTADO DE ISRAEL AV. 4809,-58.432024,-34.601710
594,THE RECOLETA HOSTEL,LIBERTAD 1216,4812-4419,info@hirecoleta.com.ar,www.hirecoleta.com.ar,Hostel,LIBERTAD,1216,LIBERTAD 1216,-58.384476,-34.594176
593,HOSTEL GARDEN HOUSE,SAN JUAN AV. 1271,4304-1824,info@gardenhouse.com.ar,http://www.gardenhouseba.com.ar/v3/,Hostel,SAN JUAN,1271,SAN JUAN AV. 1271,-58.384100,-34.622209
592,HOSTAL EL CANDIL,LERMA 476,15-3604-3397,info@hostalelcandil.com,http://www.hosteltrail.com/hostels/hostalelcandil,Hostel,LERMA,476,LERMA 476,-58.431905,-34.594393
591,OSTINATTO HOSTEL,CHILE 680,4362-9639,info@ostinatto.com.ar,http://www.ostinatto.com/,Hostel,CHILE,680,CHILE 680,-58.375687,-34.616217
590,HOSTEL COLONIAL,TUCUMAN 509,4312-6417,info@hostelcolonia.com.ar,http://www.hostelcolonial.com.ar/es/home/,Hostel,TUCUMAN,509,TUCUMAN 509,-58.374120,-34.600939
589,END OF THE WORLD,LA RIOJA 970,4957-8291,boedo@ewhostels.com,,Hostel,LA RIOJA,970,LA RIOJA 970,-58.407390,-34.621630
588,HOSTEL SOL,LIMA 1169,4304-3019,info@06centralhostel.com,http://www.06centralhostel.com/,Hostel,LIMA,1169,LIMA 1169,-58.381505,-34.621761
587,06 CENTRAL HOSTEL,MAIPU 306,5219-0052,info@06centralhostel.com,,Hostel,MAIPU,306,MAIPU 306,-58.376634,-34.604538
586,TANGUERA HOSTEL,CHILE 657,4361-9147,tanguerahostel@hotmail.com,http://www.tanguerahostel.com.ar/,Hostel,CHILE,657,CHILE 657,-58.375347,-34.616112
585,MANTENGASE HOSTEL,"CALVO, CARLOS 651",4362-4064,info@mantengase.com,,Hostel,CARLOS CALVO,651,"CALVO, CARLOS 651",-58.375135,-34.619650
584,PALERMO SOHO,NICARAGUA 4728,4833-0151,info@palermosohohostel.com.ar,http://www.palermosohohostel.com.ar/,Hostel,NICARAGUA,4728,NICARAGUA 4728,-58.426581,-34.587157
583,SOHOSTEL,CHARCAS 4416,4779-2949,info@sohostel.com.ar,http://www.sohostel.com.ar/,Hostel,CHARCAS,4416,CHARCAS 4416,-58.424205,-34.582946
582,MILONGA BED AND BREAKFAST HOTEL,AGUERO 1389,4825-7217,info@milongabnb.com,,Hostel,AGÜERO,1389,AGUERO 1389,-58.408506,-34.593336
581,REPUBLICA PALERMO HOTEL,COSTA RICA 4828,4833-5834,republicapalermo@gmail.com,http://www.republicapalermo.com/,Hostel,COSTA RICA,4828,COSTA RICA 4828,-58.428549,-34.587208
580,SUDAMERIKA HOSTEL,"YRIGOYEN, HIPOLITO 951",4342-3053,info@sudamerikahostel.com.ar,http://www.sudamerikahostel.com.ar/,Hostel,HIPOLITO YRIGOYEN,951,"YRIGOYEN, HIPOLITO 951",-58.379771,-34.609507
579,MI BUENOS AIRES DIVINO,MEDRANO AV. 821,4867-3077,mihosteldivino@yahoo.com.ar,,Hostel,MEDRANO,821,MEDRANO AV. 821,-58.420506,-34.600478
578,LA ROCCA HOSTEL,CALLAO AV. 341,4372-8898,laroccapropiedades@gmail.com,http://www.laroccahostel.com/,Hostel,CALLAO,341,CALLAO AV. 341,-58.392142,-34.605102
577,HOSTEL PLAZA,CORRIENTES AV. 3973,4865-0100,info@hostelplaza.com.ar,,Hostel,CORRIENTES,3973,CORRIENTES AV. 3973,-58.420532,-34.603133
576,THE DOWNTOWN MATE HOSTEL,RIVADAVIA AV. 1181,4381-0647,,http://www.downtownmate.com.ar/,Hostel,RIVADAVIA,1181,, , 
575,EL SOL HOSTEL,"ALVEAR, MARCELO T. DE 1590,2 piso",4811-6802,info@elsolrecoleta.com.ar,http://www.elsolrecoleta.com.ar/,Hostel,MARCELO T DE ALVEAR,1590,"ALVEAR, MARCELO T. DE 1590",-58.389618,-34.597230
574,PAMPA HOSTEL,IBERA 2858,4544-2273,info@hostelpampa.com.ar,www.hostelpampa.com.ar,Hostel,IBERA,2858,IBERA 2858,-58.468490,-34.555766
573,HOSTEL  INN,HUMBERTO 1° 820,4300-7992,buenosaires@hostel-inn.com,http://hostel-inn.com/inicio/hostels/hostel-inn-buenos-aires/,Hostel,HUMBERTO PRIMO,820,HUMBERTO 1° 820,-58.377580,-34.620915
572,TELMOTANGO,CHACABUCO 679,4361-5808,info@hostelmotango.com,http://www.hostelmotango.com/,Hostel,CHACABUCO,679,CHACABUCO 679,-58.376037,-34.615950
571,LIME HOUSE YOUTH HOSTEL,LIMA 11,4383-4561,limehouseyh@gmail.com,http://www.limehouse.com.ar/,Hostel,LIMA,11,LIMA 11,-58.382019,-34.608607
570,HOSTAL DE GRANADOS,CHILE AV. 374,4362-5600,reservasgranados@gmail.com,http://www.hostaldegranados.com.ar/,Hostel,CHILE,374,CHILE AV. 374,-58.371382,-34.616016
569,PORTAL DEL SUR,"YRIGOYEN, HIPOLITO 855",4342-8788,reservas@portaldelsurba.com.ar,http://portaldelsurba.com.ar/,Hostel,HIPOLITO YRIGOYEN,855,"YRIGOYEN, HIPOLITO 855",-58.378525,-34.609417
568,HOTEL ESTORIL,DE MAYO AV. 1385,4382-9684,info@hostelestoril.com,http://www.hostelestoril3.com/,Hostel,DE MAYO,1385,DE MAYO AV. 1385,-58.386047,-34.609368
567,BA STOP HOTEL,RIVADAVIA AV. 1194,011 6091-2156,info@bastop.com,http://bastop.com/,Hostel,RIVADAVIA,1194,, , 
566,MILONGA HOSTEL,AYACUCHO 921,4815-1827,info@milongahostel.com.ar,http://milongahostel.com.ar/,Hostel,AYACUCHO,921,AYACUCHO 921,-58.395890,-34.598399
565,MILHOUSE,"YRIGOYEN, HIPOLITO 959",4345-9604,info@milhousehostel.com,http://milhousehostel.com/es/,Hostel,HIPOLITO YRIGOYEN,959,"YRIGOYEN, HIPOLITO 959",-58.379945,-34.609521
564,V & S HOSTEL,VIAMONTE 887,4322-0994,HOSTELCLUB@HOSTELCLUB.COM,http://www.hostelclub.com/,Hostel,VIAMONTE,887,VIAMONTE 887,-58.379466,-34.600098
563,PETIT HOTEL SANTA ISABEL,"MITRE, BARTOLOME 1192,2º B",4381-8691,,,Hospedaje,BARTOLOME MITRE,1192,"MITRE, BARTOLOME 1192",-58.383365,-34.607458
562,HOTEL CHIPRE,PERU 1053,4362-5665,,http://www.ba-h.com.ar/chipre-san-telmo-hostel.htm#.WAjISeXhAdV,Hospedaje,PERU,1053,PERU 1053,-58.374325,-34.620250
561,HOTEL YINZO,REPUBLICA BOLIVARIANA DE VENEZUELA 1767,4382-4082,hotelyinzo@yahoo.com.ar,http://www.hotelyinzo.com.ar/,Hospedaje,VENEZUELA,1767,REPUBLICA BOLIVARIANA DE VENEZUELA 1767,-58.391310,-34.614856
560,HOTEL NUEVO CAMINO,"MITRE, BARTOLOME 1907",4952-6266,hotelnuevocamino@gmail.com,www.hotelnuevocamino.com.ar,Hospedaje,BARTOLOME MITRE,1907,"MITRE, BARTOLOME 1907",-58.393696,-34.608032
559,BIARRITZ,AMENABAR 615,4553-7408,reservas@biarritzhotel.com.ar,http://www.biarritzhotel.com.ar/,Hospedaje,AMENABAR,615,AMENABAR 615,-58.445639,-34.572826
558,HOTEL SAN ROMAN,MORENO 1133,4383-2318,contacto@hotesanroman.com.ar,http://www.hotelsanroman.com.ar/,Hospedaje,MORENO,1133,MORENO 1133,-58.382320,-34.611923
557,DEVOTO HOTEL,"CARRIL, SALVADOR MARIA DEL AV. 4958",4505-2020,info@devotohotel.com,http://www.devotohotel.com/,Hospedaje,SALVADOR MARIA DEL CARRIL,4958,"CARRIL, SALVADOR MARIA DEL AV. 4958",-58.524285,-34.607019
