WKT,id,nombre,direccion,telefono,email,web,mecanica_s,horario_de,calle,altura,calle2,direccion_,barrio,comuna
"POINT (-58.4256879365174 -34.5923050897605)","1",Bicicletas Araoz,Araoz 1458,011-4833-7887 / 011-4832-7704,info@biciccletasaraoz.com.ar,http://www.bicicletasaraoz.com.ar/,True,Lunes a Viernes de 10 a 20 hs y Sábados de 10 a 18hs.,ARAOZ,"1458",,ARAOZ 1458,Palermo,Comuna 14
"POINT (-58.4259820523858 -34.581377735346)","2",Roda2oro,Oro 2305,4774-0403,Roda2oro@gmail.com,http://www.roda2oro.com/,False,Lun a vier de 10 a 13 y de 14.30 a 19 / Sáb de 10 a 13,FRAY JUSTO SANTAMARIA DE ORO,"2305",,FRAY JUSTO SANTAMARIA DE ORO 2305,Palermo,Comuna 14
"POINT (-58.4153429603451 -34.6533516212895)","3",Walter,Linch 3914,4912-2738,walterbikes-10@hotmail.com,,False,,LYNCH,"3914",,LYNCH 3914,Nueva Pompeya,Comuna 4
"POINT (-58.4432441275002 -34.5943508729756)","4",Bici Shop,Villaroel 1093,4855-8329,info@tubicicleteria.com,www.tubicicleteria.com,False,,VILLARROEL,"1093",,VILLARROEL 1093,Villa Crespo,Comuna 15
"POINT (-58.3773343753292 -34.6083635891506)","5",Bicicleterias El colo,Rivadavia 770,4342--3887,info@bicicleteriaelcolo.com.ar,http://www.bicicleteriaelcolo.com.ar/,True,Lun a vier de 9 a 19/Sáb de 9 a 13,RIVADAVIA AV.,"770",,RIVADAVIA AV. 770,Monserrat,Comuna 1
"POINT (-58.4158017616162 -34.5976774009676)","6",Canaglia (Córdoba),Avda. Cordoba 3489,3535-2381,cordoba3489@canaglia.com,http://www.canaglia.com/,True,Lun a Vier de 9.30 a 13.30 y de 15.30 a 19.30/Sáb de 9 a 13 y 15 a 18,CORDOBA AV.,"3489",,CORDOBA AV. 3489,Recoleta,Comuna 2
"POINT (-58.3806491176522 -34.6000592581596)","7",Canaglia (Viamonte),Viamonte 967,4322-3426,canagliacentro@gmail.com,http://www.canaglia.com/,True,Lun a Vier de 9 a 18.30,VIAMONTE,"967",,VIAMONTE 967,San Nicolas,Comuna 1
"POINT (-58.5141232337963 -34.63941542437)","8",Canaglia (Rivadavia),Av. Rivadavia 10700,4644-3531,liniers@canaglia.com,http://www.canaglia.com/,True,Lun a vier de 9 a 13 y de 15 a 19.30/Sáb de 9 a 13.30 y de 15 a 18,RIVADAVIA AV.,"10700",,RIVADAVIA AV. 10700,Liniers,Comuna 9
"POINT (-58.4140531026509 -34.580139415205)","9",Canaglia (Lafinur),Lafinur 3057,4801-6007,palermo@canaglia.com,http://www.canaglia.com/,True,Lun a vier de 10 a 13.30 y de 15 a 19.45/Sáb de 10 a 14 y de 15 a 18,Lafinur,"3057",,LAFINUR 3057,Palermo,Comuna 14
"POINT (-58.3964882750075 -34.605806495677)","10",Espindola BIKE,Junin 305,4953 7335,info@espindolabikes.com.ar,www.espindolabikes.com.ar,False,Lun a Vier de 9.30 a 20/Sáb de 9.30 a 17,JUNIN,"305",,JUNIN 305,Balvanera,Comuna 3
"POINT (-58.3778164765587 -34.625752245726)","11",La esquina del Rodado,Av. Garay 900,4300-2781,,,False,Lun a vier 9 a 19,"GARAY, JUAN DE AV.","900",,"GARAY, JUAN DE AV. 900",Constitucion,Comuna 1
"POINT (-58.4309194650562 -34.5780059394994)","12",Millenium Bike,Bonpland 2393,4779-0871,mileniumbike@hotmail.es // mileniumbiker@yahoo.com,,True,Lun a Sáb de 9 a 20,BONPLAND,"2393",,BONPLAND 2393,Palermo,Comuna 14
"POINT (-58.4325651431927 -34.6090495721764)","13",Nodari Boutique,Eduardo Acevedo 575,4982-3418,ventas@nodari.com.ar,http://www.nodari.com.ar/,False,Lunes a Viernes de 10 a 19hs- Sabados 9 a 15hs,"ACEVEDO, EDUARDO","575",,"ACEVEDO, EDUARDO 575",Caballito,Comuna 6
"POINT (-58.4325763205718 -34.6089118173601)","15",Nodari Taller,Avda. D¡az Vélez 4686,4958-1405,ventas@nodari.com.ar,http://www.nodari.com.ar/,True,Lunes a Viernes de 10 a 19hs- Sabados 9 a 15hs,DIAZ VELEZ AV.,"4686",,DIAZ VELEZ AV. 4686,Caballito,Comuna 6
"POINT (-58.4406993916226 -34.6358144619009)","16",Los Primos,Asamblea 1126,4921-2906,losprimosbikes@hotmail.com,,False,Lun a Dom de 10 a 19.30,ASAMBLEA AV.,"1126",,ASAMBLEA AV. 1126,Parque Chacabuco,Comuna 7
"POINT (-58.38579512023 -34.5939473791802)","18",Belosophy,Talcahuano 1235,4815-7329,info@belosophybikes.com.ar,http://belosophybikes.com/,True,Lun a Vier de 10.30 a 19.30 / Sáb de 10.30 a 14,Talcahuano,"1235",,TALCAHUANO 1235,Retiro,Comuna 1
"POINT (-58.3688376369865 -34.6413412873863)","19",Rodados Saint Germain,Avenida Reg de Patricios 1,4302-2708,rodadossaintgermain@hotmail.com,,True,,REGIMIENTO DE PATRICIOS AV.,"1228",,REGIMIENTO DE PATRICIOS AV. 1228,Boca,Comuna 4
"POINT (-58.3850006184894 -34.6085189049291)","20",Bike-Shop,Talcahuano 10,4383-3925,bikeshops@yahoo.com.ar/anataborcias@yahoo.com.ar,http://www.bicicletasbikeshop.com.ar,True,Lun a vier de 9 a 19/Sáb de 9 a 16,TALCAHUANO,"10",,TALCAHUANO 10,San Nicolas,Comuna 1
"POINT (-58.4593802628315 -34.5580984212272)","21",New Bikes,Monroe 2364,4780-2066,info@newbikes.com.ar,http://www.newbikes.com.ar/,False,Lun a vier de 10 a 13.30 y de 14.30 a 20,MONROE,"2364",,MONROE 2364,Belgrano,Comuna 13
"POINT (-58.4155972652053 -34.5847008272945)","22",New Bikes,Scalabrini Ortiz 2552,4832-1232,info@newbikes.com.ar,http://www.newbikes.com.ar/,False,Lun a vier de 10 a 13.30 y de 14.30 a 20,"SCALABRINI ORTIZ, RAUL","2552",,"SCALABRINI ORTIZ, RAUL 2552",Palermo,Comuna 14
"POINT (-58.4648097115711 -34.6156477608787)","23",Probikes,Boyaca 1130,4582-0876,info@probikes.com.ar,http://www.probikes.com.ar/,False,Lun a vier de 9 a 19 / Sáb de 9 a 16,BOYACA,"1130",,BOYACA 1130,Villa Gral. Mitre,Comuna 11
"POINT (-58.4402448135666 -34.6086308653793)","24",Rodados La esquina,Av D¡az Velez 5201,4981-4931,rodadoslaesquina@gmail.com,http://www.rodadoslaesquina.com.ar/,True,Lun a Vier de 9.30 a 14 y de 15 a 20.30/Sábados de 9.30 a 20,DIAZ VELEZ AV.,"5201",,DIAZ VELEZ AV. 5201,Caballito,Comuna 6
"POINT (-58.4215981407615 -34.6077098979491)","25",Sin-Límite,Medrano 262,4981-3434 // wpp: 1123475165,info@sin-limite.com.ar,http://www.sin-limite.com.ar/,True,Lu a Vi de 14 a 20.30 hs / Sáb de 10 a 15 hs,MeDRANO,"262",,MEDRANO AV. 262,Almagro,Comuna 5
"POINT (-58.3710691223147 -34.6268316029967)","26",Bicicletas Mila,Caseros 402,4307-4370,bicicletasmila@hotmail.com,www.bicicletasmila.com.ar - Facebook: /BicicletasMila - Instagram: @bicicletasmila,False,"Lunes a Viernes de 9 a 19hs, Sábados de 9 a 18hs y Domingos de 10 a 17hs",CASEROS AV.,"402",,CASEROS AV. 402,Barracas,Comuna 4
"POINT (-58.4071800974297 -34.6372122562483)","27",Power Bikes,Caseros 3081,4912-0141,jorge_samite@hotmail.com,,False,,CASEROS AV.,"3081",,CASEROS AV. 3081,Parque Patricios,Comuna 4
"POINT (-58.4463073605107 -34.5711125224665)","28",Runner Bike,Ciudad de la Paz 771,4771-9277,ventas@runnerbike.com.ar,http://www.runnerbike.com.ar/,True,Lun a Vier de 10 a 14 y 15 a 20/Sáb de 10 a 14 y de 15 a 19,CIUDAD DE LA PAZ,"771",,CIUDAD DE LA PAZ 771,Colegiales,Comuna 13
"POINT (-58.4273955227088 -34.6249929815008)","29",Bicicleterias Ale,Av. La Plata 795,4923-3931,info@alebikes.com.ar,http://www.alebikes.com.ar/,False,Lun a Vier de 10 a 13 y de 15 a 19.30/ Sáb de 9.30 a 16,LA PLATA AV.,"795",,LA PLATA AV. 795,Caballito,Comuna 6
"POINT (-58.4256469899459 -34.5803655540624)","30",Andino Bikes,Guemes 4818,4775-3677,andino_bike@hotmail.com,http://www.andinobike.com.ar/,False,Lun a Vier de 9 a 19 / Sáb de 10:00 - 17:00,GUEMES,"4818",,GUEMES 4818,Palermo,Comuna 14
"POINT (-58.4267014841982 -34.5829444795815)","31",Bicicletería Orense,Paraguay 4718,4774 6293,orensebikes@yahoo.com.ar,http://www.bicicletasorense.com.ar/,True,Lun a vier de 9.30-13 y de 15 a 19.30,PARAGUAY,"4718",,PARAGUAY 4718,Palermo,Comuna 14
