long,lat,nombre,calle,altura,piso,telefonos,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4173334662782,-34.5916299900033,ALPI - INSTITUTO DE REHABILITACION MARCELO FITTE - Sede Central,SOLER,3945,,4821-1200 / 4823-6244,Palermo,Comuna 14,1425,C1425BWO
-58.420476072707,-34.612883734052,CAMI - MEDICINA DEL TRABAJO,CASTRO BARROS AV.,90,,4981-6274,Almagro,Comuna 5,1178,C1178AAB
-58.4020386885894,-34.5836525445924,CEMIC - Sede Las Heras,LAS HERAS GENERAL AV.,2900,,5299-0000 / 0600,Recoleta,Comuna 2,1425,C1425ASS
-58.4952169781437,-34.5569834885832,CEMIC - Sede Saavedra,GALVAN,4102,,5299-0000 / 0100,Saavedra,Comuna 12,1431,C1431FWO
-58.3972987834349,-34.6139834471649,CENTRO GALLEGO DE BUENOS AIRES,BELGRANO AV.,2199,,4127-1000,Balvanera,Comuna 3,1094,C1094AAD
-58.4249465318604,-34.6366468796802,CENTRO MEDICO SARAZA,SARAZA,435,,4921-9239 / 4924-0054,Parque Chacabuco,Comuna 7,1424,C1424CWA
-58.4683324617794,-34.5745638740179,CLINICA ADVENTISTA BELGRANO,ESTOMBA,1710,,4014-1500,Villa Ortuzar,Comuna 15,1430,C1430EGF
-58.4018293710408,-34.6146868076902,CLINICA CIUDAD DE LA VIDA,BELGRANO AV.,2530,,4308-2678,Balvanera,Comuna 3,1096,C1096AAP
-58.4056663154276,-34.5811615860652,CLINICA JURI,CERVIÑO AV.,3251,,4802-6464,Palermo,Comuna 14,1425,C1425AGB
-58.4459563935275,-34.5616588115442,CLINICA LA SAGRADA FAMILIA,"HERNANDEZ, JOSE",1642,,6343-7800,Belgrano,Comuna 13,1426,C1426EOB
-58.3930156724153,-34.5956612241685,CLINICA MILITO,CALLAO AV.,1121,Piso 1,4814-0050,Recoleta,Comuna 2,1023,C1023AAE
-58.4425178969106,-34.6062511930728,CLINICA SAN CAMILO,"GALLARDO, ANGEL AV.",861,,4858 8100,Villa Crespo,Comuna 15,1405,C1405DJI
-58.455903790195,-34.6315922260729,CLINICA Y MATERNIDAD SANTA ISABEL,LAUTARO,369,,4670-8000,Flores,Comuna 7,1406,C1406DKG
-58.4107714395989,-34.6393008682418,COMPLEJO MEDICO POLICIAL CHURRUCA-VISCA,USPALLATA,3400,,4346-5776 / 4912-3049 / 5745,Parque Patricios,Comuna 4,1437,C1437JCP
-58.4496850428311,-34.5691238969582,EXCELSITAS,ZABALA,2488,,4781-8545,Colegiales,Comuna 13,1426,C1426DQT
-58.4504966447053,-34.5551636091511,FLENI FUND. LUCHA CONTRA ENF. NEUROLOGICAS INFANCIA,MONTAÑESES,2325,,5777-3200,Belgrano,Comuna 13,1428,C1428AQK
-58.3972084784576,-34.5915528544188,FUNDALEU FUND. ARG. CONTRA LA LEUCEMIA,"URIBURU JOSE E., Pres.",1450,,4877-1000,Recoleta,Comuna 2,1114,C1114AAN
-58.4119120455676,-34.6527867404469,HOSPITAL AERONAUTICO CENTRAL,"VEGA, VENTURA de la",3697,,5168-7100,Nueva Pompeya,Comuna 4,,
-58.4210977152759,-34.60749541051,HOSPITAL DE ASMA Y ALERGIA,POTOSI,3880,,,Almagro,Comuna 5,1199,C1199ACD
-58.4005989393542,-34.599313026744,HOSPITAL DE CLINICAS JOSE DE SAN MARTIN,CORDOBA AV.,2351,,5950-8000,Recoleta,Comuna 2,1120,C1120AAF
-58.4945055527339,-34.5967355104325,HOSPITAL DE ONCOLOGIA ANGEL H. ROFFO,SAN MARTIN AV.,5481,,4580-2800/09,Agronomia,Comuna 15,1417,C1417DTB
-58.4078841680474,-34.6147921640614,HOSPITAL ESPAÑOL,BELGRANO AV.,2975,,4959-6100,Balvanera,Comuna 3,1209,C1209AAB
