long,lat,id,nombre,razon_social,cuit,tipo_de_boca,domicilio,calle_nombre,calle_altura,calle_cruce,barrio,comuna
-58.49181771449121,-34.582445816993605,1074,ASPRO,GNC LOS AMIGOS S.A.,30-64711854-9,GNC,"AV. DE LOS CONSTITUYENTES 4480 ESQ. VALLEJOS, CIUDAD AUTóNOMA DE BUENOS AIRES",DE LOS CONSTITUYENTES AV.,,MENDOZA,Villa Pueyrredon,Comuna 12
-58.4139586038227,-34.606223741128304,1076,ASPRO,GAS ING SOCIEDAD ANONIMA,30-64581284-7,GNC,"SARMIENTO 3412 ESQ., CIUDAD AUTóNOMA DE BUENOS AIRES",GALLO,,SARMIENTO,Almagro,Comuna 5
-58.371515709209795,-34.591480612187,84,DAPSA,DESTILERIA ARGENTINA DE PETROLEO S.A.,30-55025533-9,LIQUIDOS,"AVDA. E. MADERO Y SAN MARTIN, RETIRO - C.A.B.A.","MARTINEZ ZUVIRIA, GUSTAVO,",,SAN MARTIN,Retiro,Comuna 1
-58.4869134027637,-34.5678335083907,114,ESSO,SERVICENTRO CONGRESO - 158698,30-50691900-9,DUAL,"AV CONGRESO 4801, CAPITAL FED ZONA 5",CONGRESO AV.,4801.0,GALVAN,Villa Urquiza,Comuna 12
-58.4660714844294,-34.5622034826728,115,ESSO,SERVICENTRO DEL TEJAR - 158625,30-50691900-9,LIQUIDOS,"MONROE 3078, CAPITAL FED ZONA 5","BALBIN, RICARDO, DR. AV.",3078.0,MONROE,Belgrano,Comuna 13
-58.4053472830924,-34.6121409182196,117,ESSO,CORS ESSO PETROLERA ARGENTINA SRL,30-50691900-9,DUAL,"AV.JUJUY 164 Y ALSINA, CAPITAL FED ZONA 4","ALSINA, ADOLFO",,JUJUY AV.,Balvanera,Comuna 3
-58.490212971474286,-34.627491851768,118,ESSO,ANTONIO RODEIRO CALVO,20-93430342-4,LIQUIDOS,"SEGUROLA 809 ESQ. GAONA, CAPITAL FED ZONA 4",GAONA AV.,,SEGUROLA AV.,Floresta,Comuna 10
-58.4606196283127,-34.6142206946945,119,ESSO,JUAN CARLOS BARGIELA,20-13076767-3,LIQUIDOS,"AV. GAONA 2399 Y TRELLES, CAPITAL FEDERAL",GAONA AV.,,"TRELLES, MANUEL R.",Villa Gral. Mitre,Comuna 11
-58.443726601238396,-34.5703097768677,120,ESSO,SERVICENTRO CABILDO - 158594,30-50691900-9,LIQUIDOS,"CABILDO 695 ESQ. OLLEROS, CAPITAL FED ZONA 4",CABILDO AV.,,OLLEROS,Palermo,Comuna 14
-58.3761660822694,-34.6162991556142,122,ESSO,URANIA DE ROSARIO ELENA SICA,27-03419318-0,LIQUIDOS,"CHILE 702 ESQ. CHACABUCO, CAPITAL FED ZONA 1",CHACABUCO,,CHILE,San Telmo,Comuna 1
-58.44403879016,-34.5948303339949,123,ESSO,J. B. JUSTO S.A.,30-66172354-4,LIQUIDOS,"CORRIENTES 5793, CAPITAL FED ZONA 1",CORRIENTES AV.,5793.0,"JUSTO, JUAN B. AV.",Villa Crespo,Comuna 15
-58.450830158079796,-34.6062095600886,124,ESSO,SERVICENTRO LUIS VIALE - 158680,30-50691900-9,LIQUIDOS,"AV. SAN MARTIN Y LUIS VIALE, CAPITAL FED ZONA 1",SAN MARTIN AV.,,"VIALE, LUIS",Villa Crespo,Comuna 15
-58.42806431115089,-34.6219380305265,125,ESSO,SERVICENTRO ALBERDI - 158709,30-50691900-9,LIQUIDOS,"AV. LA PLATA 575, CAPITAL FED ZONA 1","ALBERDI, JUAN BAUTISTA AV.",575.0,INDEPENDENCIA AV.,Caballito,Comuna 6
