WKT,objetid,comuna,calle,nombre_de,responsabl,direccion,direcci_1,x,y,altura,barrios,sumi_elect,poblacion,grup_elect,suministr,mail_1,telefono_1
"POINT (-58.431517159589 -34.6118877605575)",2.00000000000,COMUNA 06,"ACEVEDO, EDUARDO 356",RESIDENCIA STELLA MARIS,HECTOR A. GOMEZ,"ACEVEDO, EDUARDO 356","356 ACEVEDO, EDUARDO","-58,431517159589","-34,6118877605575",0.00000000000,,,,,,"gonigdasrl@ciudad.com.ar, victor_mora_benitez@hotmail.com",4371-5700
"POINT (-58.4907752096495 -34.5772207162693)",3.00000000000,COMUNA 12,ALTOLAGUIRRE 2372,ALTOS DE URQUIZA,Carolina Donadio,ALTOLAGUIRRE 2372,2372 ALTOLAGUIRRE,"-58,4907752096495","-34,5772207162693",0.00000000000,,,,,,cumbresdemontserrat@gmail.com,4562-1502
"POINT (-58.4250624724008 -34.5934077657655)",4.00000000000,COMUNA 14,"ALVAREZ, JULIAN 1416",ANA EVELINA EL YAR,ANA EVELINA EL YAR,"ALVAREZ, JULIAN 1416","1416 ALVAREZ, JULIAN","-58,4250624724008","-34,5934077657655",0.00000000000,,,,,,info@clinicainterplaza.com.ar,4963-1155
"POINT (-58.4897168032433 -34.603507257942)",5.00000000000,COMUNA 11,ARGERICH 2864,VILLA DEL PARQUE,Aida Olga Flores,ARGERICH 2864,2864 ARGERICH,"-58,4897168032433","-34,603507257942",0.00000000000,,,,,,pawensrl@gmail.com,4801-7419/7424
"POINT (-58.4656395727485 -34.62576217735)",6.00000000000,COMUNA 07,"ARTIGAS, JOSE GERVASIO, GRAL. 395",ARTIGAS,"LUIS OMAR, RODRIGUEZ","ARTIGAS, JOSE GERVASIO, GRAL. 395","395 ARTIGAS, JOSE GERVASIO, GRAL.","-58,4656395727485","-34,62576217735",0.00000000000,,,,,,soyfreudiana@hotmail.com,4823-5314 / 15-58789511
"POINT (-58.4657871700621 -34.6254215198178)",7.00000000000,COMUNA 07,"ARTIGAS, JOSE GERVASIO, GRAL. 428",HOGAR ARTIGAS,"RICARDO HECTOR, MORAN DIAZ","ARTIGAS, JOSE GERVASIO, GRAL. 428","428 ARTIGAS, JOSE GERVASIO, GRAL.","-58,4657871700621","-34,6254215198178",0.00000000000,,,,,,ejborgese@gmail.com,4931-9761 / 1149814080
"POINT (-58.4652502385146 -34.5423928302972)",8.00000000000,COMUNA 13,BESARES 1825,RESIDENCIA PARA MAYORES MAGNOLIA SUITES,LUCA MARCELA,BESARES 1825,1825 BESARES,"-58,4652502385146","-34,5423928302972",0.00000000000,,,,,,economamoreno@gmail.com,4954-0452 / 4951-0155
"POINT (-58.4674771871607 -34.5641987541636)",9.00000000000,COMUNA 13,BLANCO ENCALADA 3260,RESIDENCIA GALIA,--,BLANCO ENCALADA 3260,3260 BLANCO ENCALADA,"-58,4674771871607","-34,5641987541636",0.00000000000,,,,,,magima33@yahoo.com.ar,4300-7491
"POINT (-58.4169083623072 -34.6045863321646)",10.00000000000,COMUNA 05,"BRAVO, MARIO 456",MARIO BRAVO,"CLAUDIA FABIANA, MIORI","BRAVO, MARIO 456","456 BRAVO, MARIO","-58,4169083623072","-34,6045863321646",0.00000000000,,,,,,,
"POINT (-58.475520296261 -34.6075282308904)",11.00000000000,COMUNA 11,"BUFANO, ALFREDO R. 2154",LAS MARTAS S.R.L.,--,"BUFANO, ALFREDO R. 2154","2154 BUFANO, ALFREDO R.","-58,475520296261","-34,6075282308904",0.00000000000,,,,,,Vero_1983_marin@hotmail.com,4911-8495 / 15-34276728
"POINT (-58.4680626254038 -34.5490997278072)",12.00000000000,COMUNA 13,CABILDO AV. 3680,SOPHIA RESIDENCIA PARA MAYORES,"IGNACIO ERNESTO, BOBEK",CABILDO AV. 3680,3680 CABILDO AV.,"-58,4680626254038","-34,5490997278072",0.00000000000,,,,,,sueldosferreira@yahoo.com.ar geriatricoprivado@gmail.com,4981-0195 / 47880774
"POINT (-58.4099284704401 -34.5969523429328)",13.00000000000,COMUNA 02,"CABRERA, JOSE A. 3078",INTERPLAZA,,"CABRERA, JOSE A. 3078","3078 CABRERA, JOSE A.","-58,4099284704401","-34,5969523429328",0.00000000000,,,,,,marielacruz@cohabitam.com.ar,4866-4500
"POINT (-58.3925349175964 -34.6202814610244)",14.00000000000,COMUNA 03,"CALVO, CARLOS 1855",GERIÁTRICO SAN MARTIN,Lic. Carla Natalia Otero,"CALVO, CARLOS 1855","1855 CALVO, CARLOS","-58,3925349175965","-34,6202814610244",0.00000000000,,,,,,,4862-3279
