long,lat,id,nombre,tipo,colectividad,telefono,fax,web,email,observaciones,calle_nombre,calle_altura,calle_cruce,piso,dpto,oficina,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4386195595045,-34.6023756511242,12,El Buen Sabor,Gastronomía,Afro,48548800,,https://www.elbuensaborafricano.com.ar/,info@elbuensaborafricano.com.ar,,Camargo,296,,,,,Villa Crespo,Comuna 15,1414,C1414AHF
-58.3802030805365,-34.647370148293,359,Asociación Patriótica Albanesa Skenderbeu,Institución Cultural - Social,Albanesa,4302-4392 / 4243-9317,,,apa_senderbeu@yahoo.com.ar,,Goncalves Dias,429,,,,,Barracas,Comuna 4,1276,C1276ACC
-58.4007825952252,-34.5768277195136,380,Embajada de Albania,Embajada,Albanesa,4809-3574 / 4807-8767,,,embassy.buenosaires@mfa.gov.al,,Juez Tedín,3036,,,,,Palermo,Comuna 14,1425,C1425CWH
-58.4628206299654,-34.5687278954368,696,Comunidad de Trabajo de Escuelas Argentino Alemanas - AGDS,Institución Educativa,Alemana,4719-71731,,http://www.agds.org.ar/,secretaria@agds.org.ar,,Freire,1882,,,,,Belgrano,Comuna 13,1428,C1428CYB
-58.3878069576351,-34.6004544959253,633,Fundación Alexander von Humboldt,Institución Cultural - Social,Alemana,4370-4909,,www.clubhumboldt.org.ar,carloselbert@sion.com,,Viamonte,1479,,5,,,San Nicolas,Comuna 1,1055,C1055ABA
-58.4374931891222,-34.5905918214569,13,"Asociación Civil de Derechos Humanos Mujeres Unidas, Migrantes y Refugiadas en Argentina - AMUNRA",Institución Cultural - Social,Alemana,4864-4593,,www.amumra.org.ar,amunra@gmail.com; naty_amunra@yahoo.com.ar,,Jufré,1051,,pb,2,,Villa Crespo,Comuna 15,1414,C1414AYU
-58.3715101899687,-34.6029026498732,632,Cámara de Industria y Comercio Argentino Alemana,Institución Profesional,Alemana,5219-4000/4001 / 4394-0979,,www.ahkargentina.com.ar/,ahkargentina(at)ahkargentina.com.ar,,Av. Corrientes,327,,23,,,San Nicolas,Comuna 1,1043,C1043AAD
-58.3795788137338,-34.6052936881181,631,Asociación Jurídica Argentino Germana,Institución Profesional,Alemana,4321-7509,,www.ajag.org,,,Suipacha,268,,12,,,San Nicolas,Comuna 1,1008,C1008AAF
-58.3714097949847,-34.602896042867,630,Asociación Argentina de Ex Becarios en la República Federal de Alemania AERFA,Institución Profesional,Alemana,4311-8964,,www.aerfa.com.ar,aerfacultura@yahoo.com.ar,,Av. Corriente,319,,1,,,San Nicolas,Comuna 1,1043,C1043AAD
-58.3781294674453,-34.6063820001685,629,Parroquia Centro,Institución Religiosa,Alemana,4328-8520,,,ierpcentroceaba@yahoo.com.ar,,Esmeralda,162,,,,,San Nicolas,Comuna 1,1035,C1035ABD
-58.3717172654715,-34.6029269189128,628,Club Alemán en Buenos Aires,Institución Cultural - Social,Alemana,4311-0716 / 4311-0716,,www.clubaleman.com.ar,info@clubaleman.com.ar; secretaria@clubaleman.com.ar,,Av. Corrientes,327,,21,,,San Nicolas,Comuna 1,1043,C1043AAD
