longitud,latitud,numero_registro,nombre,calle,numero,direccion_normalizada,numero_expediente,capacidad,clase,estado,disposicion,fecha_disp_inscripcion,numero_dips,fecha_disp_re_inscripcion,numero_disp_de_rechazo,fecha_disposicion_de_rechazo,numero_disposicion_de_recalculo_capacidad,fecha_disposicion_de_capacidad,fecha_de_entrega_nueva_revalida,vencimiento,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.393750,-34.605027,1,CASTELBAMBA,RIOBAMBA ,345,RIOBAMBA  345,4978970/19,428 personas,"""C""",RENOVADO 2019,1,2005-02-24 00:00:00,18,2019-02-20 00:00:00,,,158,2005-12-12 00:00:00,2019-12-13,2020-01-13,Balvanera,Comuna 3,1025,C1025ABG
-58.378510,-34.596003,2,GOLDEN,ESMERALDA ,1040,ESMERALDA  1040,10561/05,408 personas,"""C.C""",SUSPENDIDO DISFC-2016-77-DGFYC,3,2005-02-24 00:00:00,45,2016-03-23 00:00:00,,,98,2005-08-08 00:00:00,,,Retiro,Comuna 1,1007,C1007ABN
-58.374727,-34.612002,3,REY CASTRO,PERU ,342,PERU  342,4194466/19,901 personas,"""C""",RENOVADO 2019,4,2005-03-01 00:00:00,16,2019-02-15 00:00:00,,,67,2006-04-24 00:00:00,2019-12-05,2020-03-03,Monserrat,Comuna 1,1067,C1067AAH
-58.390154,-34.605531,4,LA FRANCE,SARMIENTO ,1656,SARMIENTO  1656,33886261/18,1372 personas,"""C.C""",RENOVADO 2019,5,2005-03-01 00:00:00,2,2019-01-10 00:00:00,,,136,2005-09-29 00:00:00,2019-12-05,2020-01-13,San Nicolas,Comuna 1,1042,C1042ABF
-58.371747,-34.601950,5,BAHREIN ,LAVALLE ,343,LAVALLE  343,2288393/19,880 personas,"""C""",RENOVADO 2019,6,2005-03-01 00:00:00,11,2019-02-04 00:00:00,,,95,2007-11-06 00:00:00,2019-09-30,2019-12-30,San Nicolas,Comuna 1,1047,C1047AAG
-58.503808,-34.564253,6,BELLA ROMA,ROGELIO YRURTIA,6020,ROGELIO YRURTIA 6020,10615/05,900 personas,"""C""","SUSPENDIDO Disp.
108/09 conjunta",7,2005-03-02 00:00:00,73,2009-06-25 00:00:00,,,86,2006-06-23 00:00:00,,,Saavedra,Comuna 12,1431,C1431BJJ
-58.388447,-34.589623,7,"CLUB 
SHAMPOO",QUINTANA ,362,QUINTANA  362,5897983/19,220 personas,"""C"" ",RENOVADO 2019,8,2005-03-02 00:00:00,24,2019-03-01 00:00:00,,,88,2005-07-27 00:00:00,,,Recoleta,Comuna 2,1014,C1014ACQ
-58.501884,-34.585999,8,CITY HALL ,AV. MOSCONI ,2883/5,AV. MOSCONI  2883,5299728/19,1434 personas,"""C""",RENOVADO 2019,9,2005-03-03 00:00:00,23,2019-03-01 00:00:00,,,77,2005-06-27 00:00:00,2019-11-08,2020-02-10,Villa Pueyrredon,Comuna 12,1419,C1419EQH
-58.471380,-34.631291,9,IVANOFF,RIVADAVIA ,7514/18,RIVADAVIA  7514,5554083/19,323 personas,"""C.C""",RENOVADO 2019,10,2005-03-03 00:00:00,22,2019-02-28 00:00:00,,,127,2005-09-13 00:00:00,2019-12-12,2020-03-15,Flores,Comuna 7,1406,C1406GMS
-58.391179,-34.605601,10,"MALUCO 
BELEZA",SARMIENTO ,1728,SARMIENTO  1728,3944043/19,1076 personas,"""C""",RENOVADO 2019,11,2005-03-03 00:00:00,10,2019-02-01 00:00:00,,,92,2006-07-11 00:00:00,,,San Nicolas,Comuna 1,1042,C1042ABH
,,11,XEL - HA,AV SAN M ARTÍN ,6628,AV SAN M ARTÍN  6628,6128100/19,692 personas,"""C""",RENOVADO 2019,12,2005-03-03 00:00:00,30,2019-03-13 00:00:00,,,70,2005-06-10 00:00:00,2019-11-20,2020-02-10,Villa Devoto,Comuna 11,1419,C1419ICQ
-58.394594,-34.589074,12,CLOCHE,J.E. URIBURU,1721,J.E. URIBURU 1721,5177597/18 ,588 personas,"""C""",INSCRIPCION VENCIDA 7/03/2019,13,2005-03-03 00:00:00,25,2018-03-07 00:00:00,,,78,2005-07-04 00:00:00,,,Recoleta,Comuna 2,1114,C1114AAS
-58.391469,-34.605626,13,SUDACA,SARMIENTO ,1752,SARMIENTO  1752,5320572/19,980 personas,"""C""",RENOVADO 2019,18,2005-03-07 00:00:00,25,2019-03-01 00:00:00,,,134,2013-08-05 00:00:00,2019-10-17,2020-01-13,San Nicolas,Comuna 1,1042,C1042ABH
-58.370537,-34.615568,14,MOLIERE,BALCARCE ,678/82,BALCARCE  678,6656757/19,531 personas,"""C.C""",RENOVADO 2019,19,2005-03-09 00:00:00,38,2019-03-20 00:00:00,,,69,2017-07-20 00:00:00,2019-10-31,2020-02-03,Monserrat,Comuna 1,1064,C1064AAN
-58.412236,-34.604180,15,AZUCAR ,AV. CORRIENTES ,3328,AV. CORRIENTES  3328,12571/05,622 personas,"""c""","BAJA INSC.Disp. 
02/14 conjunta",16,2005-03-03 00:00:00,116,2013-06-25 00:00:00,,,88,2006-06-23 00:00:00,,,Balvanera,Comuna 3,1193,C1193AAS
-58.448436,-34.546927,16,WESTERN ,F. ALCORTA ,7536,F. ALCORTA  7536,5653644/19,320 personas,"""C""",RENOVADO 2019,17,2005-03-03 00:00:00,29,2019-03-13 00:00:00,,,89,2006-07-06 00:00:00,2019-11-07,2020-02-11,Belgrano,Comuna 13,1428,C1428BCY
-58.376047,-34.598835,17,GONG,AV. CÓRDOBA ,634,AV. CÓRDOBA  634,6775545/19,200 personas,"""C""",RENOVADO 2019,20,2005-03-10 00:00:00,39,2019-03-20 00:00:00,,,51,2006-03-23 00:00:00,2019-06-05,2019-07-13,San Nicolas,Comuna 1,1054,C1054AAS
-58.435462,-34.553124,18,RUMI,F. ALCORTA,6438/42,F. ALCORTA 6438,10834/05,765 personas,"""C.C""",BAJA INSC. Disp.40/13,21,2005-03-10 00:00:00,31,2012-03-09 00:00:00,,,149,2005-11-02 00:00:00,,,Belgrano,Comuna 13,1428,C1428BCN
-58.470238,-34.630759,19,EVELYN,AV. RIVADAVIA ,7425,AV. RIVADAVIA  7425,4152489/19,452 personas,"""C.C""",RENOVADO 2019,22,2005-03-10 00:00:00,21,2019-02-28 00:00:00,,,135,2005-09-29 00:00:00,2019-12-12,2020-03-15,Flores,Comuna 7,1406,C1406GME
-58.379677,-34.610694,20,PALACIO ALSINA,ALSINA ,934/44,ALSINA  934,34847653/18,2140 personas,"""C""",RENOVADO 2019,23,2005-03-10 00:00:00,9,2019-01-23 00:00:00,,,9,2017-02-02 00:00:00,2019-12-05,2020-03-03,,,,
-58.438732,-34.587241,21,NICETO CLUB ,NICETO VEGA ,5508,NICETO VEGA  5508,4851795/19,1118 personas,"""C""",RENOVADO 2019,24,2005-03-10 00:00:00,28,2019-03-08 00:00:00,,,58,2005-05-06 00:00:00,2019-09-23,2019-12-06,Palermo,Comuna 14,1414,C1414BFD
-58.364046,-34.605937,22,ASIA DE CUBA,OLGA COSSETTINI,751,OLGA COSSETTINI 751,4179110/19,446 personas,"""C""",RENOVADO 2019,25,2005-03-10 00:00:00,17,2019-02-20 00:00:00,,,17,2018-02-23 00:00:00,2019-11-13,2020-02-10,Puerto Madero,Comuna 1,1107,C1107CDA
-58.409546,-34.597005,23,GLAM ,JOSÉ A. CABRERA ,3046/48,JOSÉ A. CABRERA  3046,17133231/19,489 personas,"""C.C""",RENOVADO 2019,26,2005-03-11 00:00:00,62,2019-06-12 00:00:00,,,60,2007-05-10 00:00:00,2019-05-28,2019-08-17,Recoleta,Comuna 2,1186,C1186AAF
