grupo,culto,nombre_institucion,domicilio,barrio,cgpc,cp,lat,long
Cristianos,Católico Apostólico Romano ,Espíritu Santo,Pacheco 2059,Villa Urquiza,12.0,C1431FIE,-34.576126,-58.481124
Cristianos,Católico Apostólico Romano ,Asuncion De La Santisima Virgen,Avda. Gaona 2798,Flores,7.0,C1406FMI,-34.616306,-58.465508
Cristianos,Católico Apostólico Romano ,Corazón De Jesus,Avda. General Paz 5370,V.Pueyrredon,12.0,C1419FYQ,-34.575482,-58.511539
Cristianos,Católico Apostólico Romano ,Buen Pastor,Aranguren 691,Caballito,6.0,C1405CRM,-34.614335,-58.442114
Cristianos,Católico Apostólico Romano ,Cristo Obrero Y San Blas,Lafuente 3242,Villa Soldati,8.0,C1437BVO,-34.663096,-58.438262
Cristianos,Católico Apostólico Romano ,Inmaculada Concepción (b),Vuelta De Obligado 2042,Belgrano,13.0,C1428ADF,-34.561952,-58.455304
Cristianos,Católico Apostólico Romano ,Dulcísimo Nombre De Jesús,Valdenegro 3621,Saavedra,12.0,C1431GAU,-34.559433,-58.491737
Cristianos,Católico Apostólico Romano ,Madre Admirable,Arroyo 931,Retiro,1.0,C1007AAC,-34.591461,-58.380636
Cristianos,Católico Apostólico Romano ,Encarnacion Del Señor,Gral. Manuel  A.  Rodriguez  2444,Paternal,15.0,C1416CNB,-34.598191,-58.458923
Cristianos,Católico Apostólico Romano ,Corpus Domini,Albariño 256,Villa Luro,10.0,C1408HOF,-34.641029,-58.508466
Cristianos,Católico Apostólico Romano ,Cristo Maestro,Mercedes 1632,Floresta,10.0,C1407FZC,-34.619702,-58.494745
Cristianos,Católico Apostólico Romano ,Cristo Rey,Zamudio 5551,Villa Pueyrredón,12.0,C1419EHK,-34.575958,-58.502644
Cristianos,Católico Apostólico Romano ,Inmaculada Concepción ©,Avda. Independencia Y Tacuari,Constitucion,1.0,C1099AAW,-34.617546,-58.378781
Cristianos,Católico Apostólico Romano ,Madre De Dios,Avda. Escalada 2350,Villa Lugano,8.0,C1439FHD,-34.659614,-58.476459
Cristianos,Católico Apostólico Romano ,Inmaculada Concepcion (b),José Cubas 3599,Villa Devoto,11.0,C1419GNC,-34.594272,-58.509419
Cristianos,Católico Apostólico Romano ,Jesús De Nazaret,Avda.  La  Plata  2258,Nueva Pompeya,4.0,C1437DHN,-34.640909,-58.423203
