long,lat,id,nombre,referencia,calle,altura,altura_2,cruce,detalle_ub,localidad,tel,mail,nom_mapa,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4558054963087,-34.6425701242125,149,Santa Clara,,Zuviría,2631,,,,Buenos Aires,4632-1461,parroquiasantaclara@yahoo.com.ar,Santa Clara,Flores,Comuna 7,1406,C1406HSS
-58.4937217368627,-34.6415241332146,109,San Francisco Solano,,Zelada,4771,,,,Buenos Aires,4683-3102,psolano@speedy.com.ar,San Francisco Solano,Villa Luro,Comuna 10,1407,C1407GXG
-58.5025059347508,-34.5758758654834,8,Cristo Rey,,Zamudio,5551,,,,Buenos Aires,4572-5459,-,Cristo Rey,Villa Pueyrredon,Comuna 12,1419,C1419EHK
-58.5021933521033,-34.5632418767532,119,San Juan Bautista el Precursor,,Rogelio Yrurtia,5800,,,,Buenos Aires,4543-8131,domibresci@yahoo.com.ar,San Juan Bautista el Precursor,Saavedra,Comuna 12,1431,C1431BJD
-58.455374201532,-34.5621175116099,12,Inmaculada Concepción (B),,Vuelta de Obligado,2042,,,,Buenos Aires,4784-3596,inmaculadaconcepciodebelgrano@gmail.com,Inmaculada Concepción,Belgrano,Comuna 13,1428,C1428ADF
-58.4382587177718,-34.5687585378688,97,San Benito Abad,,Villanueva,905,,,,Buenos Aires,4773-4605; 4771-0579,info@parroquiasanbenito.com.ar,San Benito Abad,Palermo,Comuna 14,1426,C1426BMA
-58.4573213034378,-34.5673994320457,100,San Cayetano (B),,Vidal,1745,,,,Buenos Aires,4781-5886; 4784-6309,sancayetanob@hotmail.com,San Cayetano,Belgrano,Comuna 13,1426,C1426AMG
-58.3892838513801,-34.6504548722298,89,Sagrado Corazón de Jesús,Basílica,Avda. Vélez Sarsfield,1351,,,,Buenos Aires,4301-0142,adrianaperuilh@yahoo.com.ar,Sagrado Corazón de Jesús,Barracas,Comuna 4,1285,C1285AAC
-58.5224964640841,-34.6152203168048,139,San Rafael Arcángel,,José P. Varela,5272,,,,Buenos Aires,4568-4597,secretaria_parroquial@casadesanrafael.com.ar,San Rafael Arcángel,Villa Devoto,Comuna 11,1417,C1417EZH
-58.4907481700933,-34.5605609195153,9,Dulcísimo Nombre de Jesús,,Valdenegro,3611,,,,Buenos Aires,4541-9796/0099,paterfabrizio@hotmail.com,Dulcísimo Nombre de Jesús,Saavedra,Comuna 12,1431,C1431GAU
-58.4885330382318,-34.5728616162467,68,Nuestra Señora del Carmen (D),,Avda. Triunvirato,4940,,,,Buenos Aires,4521-1311; 4522-0142,-,Ntra. Sra. del Carmen,Villa Urquiza,Comuna 12,1431,C1431FCP
-58.4101763761055,-34.6504252237086,42,Nuestra Señora de la Divina Providencia,,Traful,3535,,,,Buenos Aires,4911-9105,donorione@argentina.com,Ntra. Sra. de la Divina Providencia,Nueva Pompeya,Comuna 4,1437,C1437HME
-58.3788946720035,-34.6177081241355,13,Inmaculada Concepción (C),,Tacuarí,0,,Avda. Independencia,,Buenos Aires,4300-5547/3944,-,Inmaculada Concepción,,,,
-58.4635816139516,-34.6847637083445,20,Jesús Salvador,,Avda. Soldado de la Frontera,5184,,,,Buenos Aires,4605-3859,-,Jesús Salvador,Villa Lugano,Comuna 8,1439,C1439FPF
