long,lat,id,nom_polid,calle,nro,telefono,domicilio,barrio,comuna,hor_atenc,valor_ent,codigo_postal,codigo_postal_argentino
-58.4742972315677,-34.6460080345386,1,AVELLANEDA,LACARRA,1257,4671-5932,1257 LACARRA,PARQUE AVELLANEDA,9,Todos los días de 8 a 20 horas.,Gratuito,1407,C1407JQY
-58.4447411760323,-34.6330745192493,2,CHACABUCO,PERON EVA,1410,4921-5776,1410 PERON EVA,PARQUE CHACABUCO,7,Todos los días de 8 a 20 horas.,Gratuito,1406,C1406HMP
-58.4446741367092,-34.5794594978438,3,COLEGIALES,CONDE,235,4555-7074,235 CONDE,COLEGIALES,13,Todos los días de 8 a 20 horas.,Gratuito,1426,C1426AYE
-58.4767720087481,-34.5916364980214,4,COSTA RICA,DE LOS CONSTITUYENTES & CHORROARIN,0,4521-8063,DE LOS CONSTITUYENTES & CHORROARIN,AGRONOMIA,15,Todos los días de 8 a 20 horas.,Gratuito,,
-58.3764131296855,-34.6381418468453,5,DON PEPE,HORNOS Gral. & BRANDSEN,0,4302-1618,HORNOS Gral. & BRANDSEN,BARRACAS,4,Todos los días de 8 a 20 horas.,Gratuito,,
-58.4960447276625,-34.6674350806665,6,DORREGO,DE LA TORRE LISANDRO & MONTE,0,4687-6823,DE LA TORRE LISANDRO & MONTE,MATADEROS,9,Todos los días de 8 a 20 horas.,Gratuito,,
-58.4085767657369,-34.6260852784296,7,MARTIN FIERRO,ORURO,1300,4941-2054,1300 ORURO,SAN CRISTOBAL,3,Todos los días de 8 a 20 horas.,Gratuito,1243,C1243ADB
-58.5137582460452,-34.5944241740242,8,ONEGA,MISTRAL GABRIELA,3819,4504-2711,3819 MISTRAL GABRIELA,VILLA DEVOTO,11,Todos los días de 8 a 20 horas.,Gratuito,1419,C1419GGI
-58.4088940560445,-34.6390976996566,9,PATRICIOS,PEPIRI,135,4911-4642,135 PEPIRI,PARQUE PATRICIOS,4,Todos los días de 8 a 20 horas.,Gratuito,1437,C1437EIC
-58.4911509087536,-34.6223474860795,10,POMAR,MERCEDES,1300,4568-0184,1300 MERCEDES,FLORESTA,10,Todos los días de 8 a 20 horas.,Gratuito,1407,C1407AHX
-58.5131533538682,-34.6461944501804,11,SANTOJANNI,PATRON,6222,4641-2462,6222 PATRON,LINIERS,9,Todos los días de 8 a 20 horas.,Gratuito,1408,C1408FAT
-58.3894321267513,-34.649279232219,12,PEREYRA,VELEZ SARSFIELD,1271,4301-3700,1271 VELEZ SARSFIELD,BARRACAS,4,Todos los días de 8 a 20 horas.,Gratuito,1285,C1285AAB
-58.4017985221642,-34.5726986207638,13,MANUEL BELGRANO (ex KDT),COSTANERA AV & SALGUERO,0,4807-7700,COSTANERA AV & SALGUERO,PALERMO,14,"Lunes a viernes de 8 a 22hs. Sábados, Domingos y feriados de 8 a 21 hs.",Bono Contribución,,
-58.4415247657096,-34.6680106421335,14,JULIO A. ROCA,ROCA CNEL.,3490,3706-4954,3490 ROCA CNEL.,VILLA SOLDATI,8,Martes a Domingo de 9 a 19 horas.,Bono Contribución,1437,C1437KAN
-58.4985102827665,-34.5531024373884,15,SARMIENTO,BALBIN RICARDO DR. & PAZ GRAL AV,4750,4547-0882,4750 BALBIN RICARDO DR. & PAZ GRAL,SAAVEDRA,12,Todos los días de 8:30 a 18 horas.,"Bono Contribución-sábados,domingos y feriados",1430,C1430ABS
-58.4345296635117,-34.5584411681151,16,CAMPO DE GOLF,TORNQUINST,6397,4772-7261/7576,6397 TORNQUINST,PALERMO,14,Martes a Domingo de 9 a 18 horas. / 4777-4621 - RESERVAS: 4774-9158,Gratuito,,
