long,lat,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino,objeto
-58.4008279597768,-34.5722372276579,1392,Polideportivo Manuel Belgrano (Ex-Kdt),Deporte,,BA WIFI 2018,Dsiponible,Polideportivos,"SALGUERO, JERONIMO",3450,,Recoleta,Comuna 2,1425,C1425DFS,SITIO WIFI
-58.3866870973489,-34.5998863504715,1391,Registro civil sede central 3er piso y PB - Sala de Matrimonio,Gobierno,,BA WIFI 2018,Dsiponible,Edificios del GCABA,Uruguay,753,,San Nicolas,Comuna 1,1015,C1015ABO,SITIO WIFI
-58.5139312475023,-34.5948610558613,1390,Polideportivo Onega,Deporte,,BA WIFI 2018,Dsiponible,Polideportivos,Gabriela Mistral,3850,,Villa Devoto,Comuna 11,1419,C1419GGJ,SITIO WIFI
-58.3742838584106,-34.6468851151706,1389,Polideportivo Don Pepe,Deporte,,BA WIFI 2018,Dsiponible,Polideportivos,Gral. Hornos,1800,,Barracas,Comuna 4,1272,C1272ADJ,SITIO WIFI
-58.4549398211888,-34.6844406910074,1388,Dirección de Licencias,Gobierno,,BA WIFI 2018,Dsiponible,Edificios del GCABA,"ROCA, CNEL. AV.",5200,,Villa Riachuelo,Comuna 8,1439,C1439DVO,SITIO WIFI
-58.4468659274738,-34.6450278559357,1387,Planta Asfalto (EMUI),Gobierno,,BA WIFI 2018,Dsiponible,Edificios del GCABA,CASTAÑARES AV.,2350,,Flores,Comuna 7,1406,C1406IGW,SITIO WIFI
-58.4964467013672,-34.6679203648268,1386,Centro de Día Nro. 24,Desarrollo Humano y Hábitat,,BA WIFI 2018,Dsiponible,Centros de Día,YRUPE,6702,,Mataderos,Comuna 9,1440,C1440BND,SITIO WIFI
-58.4673937474846,-34.6782677955049,1385,Centro de Acción Familiar Bartolomé Mitre,Cultura,,BA WIFI 2018,Dsiponible,CAF,LARRAYA,4370,,Villa Lugano,Comuna 8,1439,C1439EKL,SITIO WIFI
-58.3938870708756,-34.6413200202551,1384,SAME - Monasterio,Salud,,BA WIFI 2018,Dsiponible,Hospitales y Centros de Salud,MONASTERIO,480,,Parque Patricios,Comuna 4,1284,C1284AEJ,SITIO WIFI
-58.4116170201265,-34.6203830982481,1383,Ente de Mantenimiento Urbano,Gobierno,,BA WIFI 2018,Dsiponible,Edificios del GCABA,INDEPENDENCIA AV.,3253,,Balvanera,Comuna 3,1225,C1225ABB,SITIO WIFI
-58.4912380719344,-34.551170025911,1382,PLAZA HUNGRIA,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Ramallo,4300,,Saavedra,Comuna 12,1430,C1430CQB,SITIO WIFI
-58.4149451181804,-34.5844410861819,1381,PLAZA ALEMANIA,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Raúl Scalabrini Ortíz,2602,,Palermo,Comuna 14,1425,C1425DBU,SITIO WIFI
-58.3748064375329,-34.593276231308,1380,PLAZA SAN MARTIN,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. del Libertador,50,,Retiro,Comuna 1,1001,C1001ABN,SITIO WIFI
-58.4618831915918,-34.580174787244,1379,PLAZA 25 DE AGOSTO,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,14 de Julio,1150,,Villa Ortuzar,Comuna 15,1427,C1427CJX,SITIO WIFI
-58.4649425667109,-34.5669364356905,1378,PLAZA CASTELLI,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Juramento,3286,,Belgrano,Comuna 13,1428,C1428DPB,SITIO WIFI
-58.4456997349295,-34.5611108941704,1377,PLAZA BARRANCAS DE BELGRANO,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Virrey Vértiz,1702,,Belgrano,Comuna 13,1426,C1426BYD,SITIO WIFI
-58.4821751286202,-34.6292074203173,1376,PLAZA VELEZ SARSFIELD,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Avellaneda,3800,,Floresta,Comuna 10,1407,C1407EJR,SITIO WIFI
-58.5222383519687,-34.6566802608461,1375,PARQUE ALFREDO L. PALACIOS,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Acassuso,7551,,Mataderos,Comuna 9,1440,C1440CME,SITIO WIFI
-58.4841258959576,-34.6475846191566,1374,PLAZA DOMINGO OLIVERA,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Olivera,860,,Parque Avellaneda,Comuna 9,1407,C1407INV,SITIO WIFI
-58.4826203668801,-34.6436989541515,1373,PARQUE AVELLANEDA,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Directorio,4230,,Parque Avellaneda,Comuna 9,1407,C1407HGP,SITIO WIFI
-58.4600089906721,-34.6890114164879,1372,PLAZOLETA ROCA Y SOLDADO DE LA FRONTERA,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Cnel. Roca,5800,,Villa Riachuelo,Comuna 8,1439,C1439DVU,SITIO WIFI
-58.473507360932,-34.6223175002869,1371,PLAZA DE LOS PERIODISTAS,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Nazca,900,,Flores,Comuna 7,1406,C1406AJU,SITIO WIFI
-58.4553483099985,-34.6318913020249,1370,PLAZA DE LA MISERICORDIA,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av Directorio,2000,,Flores,Comuna 7,1406,C1406GZV,SITIO WIFI
-58.4168648933249,-34.6280670977382,1369,PLAZA AMAYA,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Constitución,3670,,Boedo,Comuna 5,1254,C1254ABL,SITIO WIFI
-58.419847956675,-34.6055612853518,1368,PLAZA ALMAGRO,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Jerónimo Salguero,450,,Almagro,Comuna 5,1177,C1177AEH,SITIO WIFI
-58.4280555190316,-34.6474045313227,1367,PLAZA CENTENERA Y CRUZ,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Gral. Fernández de la Cruz,1445,,Nueva Pompeya,Comuna 4,1437,C1437GYG,SITIO WIFI
-58.3898883514022,-34.6090641562403,1366,PLAZA DE LOS 2 CONGRESOS,Parques y Plazas,,BA Elige 2018,Dsiponible,Parques y Plazas,Av. Rivadavia,1653,,San Nicolas,Comuna 1,1033,C1033AAG,SITIO WIFI
-58.4557300867647,-34.5873345967107,1365,Cementerio de Chacarita,Espacio Público,,Proyecto 125,Dsiponible,Cementerios,AV. GUZMAN,730,,Chacarita,Comuna 15,1427,C1427BOU,SITIO WIFI
-58.5136676419032,-34.6465441407928,1364,Polideportivo Santojanni,Deporte,,Proyecto 125,Dsiponible,Polideportivos,PATRON,6222,,Liniers,Comuna 9,1408,C1408FAT,SITIO WIFI
-58.4447617841128,-34.63290710494,1363,Polideportivo Parque Chacabuco,Deporte,,Proyecto 125,Dsiponible,Polideportivos,Av. Eva Peron,1410,,Parque Chacabuco,Comuna 7,1406,C1406HMP,SITIO WIFI
-58.4769681302634,-34.5914931177593,1362,Polideportivo Costa Rica,Deporte,,Proyecto 125,Dsiponible,Polideportivos,AV. DE LOS CONSTITUYENTES,3050,,Agronomia,Comuna 15,1427,C1427BLO,SITIO WIFI
-58.4451768758948,-34.5790092034778,1361,Polideportivo Colegiales,Deporte,,Proyecto 125,Dsiponible,Polideportivos,"FREIRE, RAMON, CAP. GRAL.",234,,Colegiales,Comuna 13,1426,C1426AVF,SITIO WIFI
-58.3787750613751,-34.6415546194459,1359,Subsede Comunal 4 RC,Gobierno,,Proyecto 125,Dsiponible,Sede Comunal,Av. Suarez,2032,,Barracas,Comuna 4,1288,C1288AFD,SITIO WIFI
-58.4002314257045,-34.6126307861384,1358,Sede de Comuna 3 - Spinetto Mediaciones,Gobierno,,Proyecto 125,Dsiponible,Sede Comunal,Matheu,240,,Balvanera,Comuna 3,1082,C1082ABF,SITIO WIFI
-58.4002314257045,-34.6126307861384,1357,Sede de Comuna 3 - Spinetto Infracciones,Gobierno,,Proyecto 125,Dsiponible,Sede Comunal,Matheu,240,,Balvanera,Comuna 3,1082,C1082ABF,SITIO WIFI
-58.4552642367241,-34.5611285474626,1356,Museo Larreta,Cultura,,Proyecto 125,Dsiponible,Museos,Juramento,2291,,Belgrano,Comuna 13,1428,C1428DNK,SITIO WIFI
-58.3824383808245,-34.6010550786978,1355,Teatro Colón,Cultura,,Proyecto 125,Disponible,Teatros,Cerrito,628,,San Nicolas,Comuna 1,1010,C1010AAN,SITIO WIFI
-58.4186737209999,-34.5834025294832,1354,Ministerio de Ambiente y Espacio Publico - Jardín Botánico,Gobierno,,Proyecto 125,Disponible,Gobierno,SANTA FE AV.,3917,,Palermo,Comuna 14,1425,C1425BHB,SITIO WIFI
-58.3746145336963,-34.5931203288775,1353,Torre Monumental - Centro de Informes de Museos,Cultura,,Proyecto 125,Disponible,Museos,DEL LIBERTADOR AV.,49,,Retiro,Comuna 1,1001,C1001ABA,SITIO WIFI
-58.4086560696891,-34.6395850988822,1352,Polideportivo Parque Patricios,Espacio Público,,Proyecto 125,Disponible,Deportes,Pepiri,135,,Parque Patricios,Comuna 4,1437,C1437EIC,SITIO WIFI
-58.4447617841128,-34.63290710494,1351,Polideportivo Chacabuco,Espacio Público,,Proyecto 125,Disponible,Deportes,Av. Eva Peron,1410,,Parque Chacabuco,Comuna 7,1406,C1406HMP,SITIO WIFI
-58.4918027632229,-34.6219408053394,1350,Polideportivo Pomar,Espacio Público,,Proyecto 125,Disponible,Deportes,Mercedes,1371,,Floresta,Comuna 10,1407,C1407AHY,SITIO WIFI
-58.3892876434263,-34.6490190529913,1349,Polideportivo Pereira,Espacio Público,,Proyecto 125,Disponible,Deportes,Av. Velez Sarsfield,1271,,Barracas,Comuna 4,1285,C1285AAB,SITIO WIFI
-58.4961512700634,-34.6677723599491,1348,Polideportivo Dorrego,Espacio Público,,Proyecto 125,Disponible,Deportes,Monte,6679,,Mataderos,Comuna 9,1440,C1440BMC,SITIO WIFI
-58.525532408329,-34.6346958022058,1347,Estación de Combis Puerto Madero,Transporte,,Proyecto 125,Disponible,Transporte,Madero,399,,Liniers,Comuna 9,1408,C1408BRE,SITIO WIFI
-58.4411009194112,-34.6322732149446,1344,Subsede Comunal 7,Gobierno,,Proyecto 125,Disponible,Sede Comunal,Emilio Mitre,956,,Parque Chacabuco,Comuna 7,1424,C1424AYT,SITIO WIFI
-58.4849111882715,-34.6456803774603,1343,Subsede Comunal 9,Gobierno,,Proyecto 125,Disponible,Sede Comunal,DIRECTORIO AV.,4344,,Parque Avellaneda,Comuna 9,1407,C1407HGQ,SITIO WIFI
-58.3937047814703,-34.6237277072939,1341,Subsede Comunal 3 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,SARANDI,1273,,San Cristobal,Comuna 3,1251,C1251ADA,SITIO WIFI
-58.3936257447122,-34.588922581605,1340,Subsede Comunal 2 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"LOPEZ, VICENTE",2050,,Recoleta,Comuna 2,1128,C1128ACF,SITIO WIFI
-58.4963222238924,-34.6013384659779,1339,Subsede Comunal 11,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"GUTIERREZ, RICARDO",3253,,Villa Del Parque,Comuna 11,1417,C1417ECA,SITIO WIFI
-58.5050901227551,-34.659690705259,1338,Sede de Comuna 9,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"GORDILLO, TIMOTEO",2212,,Mataderos,Comuna 9,1440,C1440EET,SITIO WIFI
-58.4553385709999,-34.6847103855944,1337,Sede de Comuna 8,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"ROCA, CNEL. AV.",5252,,Villa Riachuelo,Comuna 8,1439,C1439DVN,SITIO WIFI
-58.4670021929804,-34.6301555653832,1336,Sede de Comuna 7 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,RIVADAVIA AV.,7202,,Flores,Comuna 7,1406,C1406GMP,SITIO WIFI
-58.4311977233421,-34.6088110284662,1335,Sede de Comuna 6 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,DIAZ VELEZ AV.,4558,,Caballito,Comuna 6,1405,C1405DCN,SITIO WIFI
-58.4126589451862,-34.6230513970428,1334,Sede de Comuna 5 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,CARLOS CALVO,3307,,Boedo,Comuna 5,1230,C1230ABE,SITIO WIFI
-58.4246528238924,-34.650476697209,1333,Sede de Comuna 4,Gobierno,,Proyecto 125,Disponible,Sede Comunal,BARCO CENTENERA del,2906,,Nueva Pompeya,Comuna 4,1437,C1437ACO,SITIO WIFI
